state,state abbr,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,AL,4/4/2020,106739,3/28/2020,52176,1923741,2.71
Alaska,AK,4/4/2020,14590,3/28/2020,19845,307329,6.46
Arizona,AR,4/4/2020,132428,3/28/2020,62597,2864180,2.19
Arkansas,AZ,4/4/2020,62086,3/28/2020,36499,1195622,3.05
California,CA,4/4/2020,918814,3/28/2020,1076761,17265039,6.24
Colorado,CO,4/4/2020,46326,3/28/2020,73584,2650335,2.78
Connecticut,CT,4/4/2020,33464,3/28/2020,147939,1654391,8.94
Delaware,DE,4/4/2020,18851,3/28/2020,19442,443288,4.39
District of Columbia,DC,4/4/2020,15329,3/28/2020,31385,578035,5.43
Florida,FL,4/4/2020,169885,3/28/2020,98921,8604277,1.15
Georgia,GA,4/4/2020,390132,3/28/2020,360077,4373059,8.23
Hawaii,HI,4/4/2020,53101,3/28/2020,32197,621949,5.18
Idaho,ID,4/4/2020,30904,3/28/2020,35915,727996,4.93
Illinois,IL,4/4/2020,201041,3/28/2020,263057,5910898,4.45
Indiana,IN,4/4/2020,127010,3/28/2020,71737,3039304,2.36
Iowa,IA,4/4/2020,64194,3/28/2020,91631,1530920,5.99
Kansas,KS,4/4/2020,49306,3/28/2020,51425,1363114,3.77
Kentucky,KY,4/4/2020,117575,3/28/2020,130151,1890475,6.88
Louisiana,LA,4/4/2020,100621,3/28/2020,116690,1892522,6.17
Maine,ME,4/4/2020,30910,3/28/2020,41339,602736,6.86
Maryland,MD,4/4/2020,109496,3/28/2020,92112,2549408,3.61
Massachusetts,MA,4/4/2020,139647,3/28/2020,310211,3557761,8.72
Michigan,MI,4/4/2020,388554,3/28/2020,366426,4302198,8.52
Minnesota,MN,4/4/2020,110260,3/28/2020,248023,2859937,8.67
Mississippi,MS,4/4/2020,45852,3/28/2020,29373,1108618,2.65
Missouri,MO,4/4/2020,91458,3/28/2020,121467,2749100,4.42
Montana,MT,4/4/2020,21244,3/28/2020,36819,454298,8.1
Nebraska,NC,4/4/2020,27054,3/28/2020,38921,962725,4.04
Nevada,ND,4/4/2020,79285,3/28/2020,131121,1371969,9.56
New Hampshire,NE,4/4/2020,39202,3/28/2020,52166,654468,7.97
New Jersey,NH,4/4/2020,214836,3/28/2020,276119,4015146,6.88
New Mexico,NJ,4/4/2020,26132,3/28/2020,44829,799085,5.61
New York,NM,4/4/2020,344451,3/28/2020,712544,9380736,7.6
North Carolina,NV,4/4/2020,137422,3/28/2020,245692,4381417,5.61
North Dakota,NY,4/4/2020,15125,3/28/2020,16036,411624,3.9
Ohio,OH,4/4/2020,226191,3/28/2020,450061,5338723,8.43
Oklahoma,OK,4/4/2020,60534,3/28/2020,55029,1565634,3.51
Oregon,OR,4/4/2020,62788,3/28/2020,118729,1906429,6.23
Pennsylvania,PA,4/4/2020,277640,3/28/2020,566464,5800562,9.77
Puerto Rico,PR,4/4/2020,66555,3/28/2020,49669,852292,5.83
Rhode Island,RI,4/4/2020,28243,3/28/2020,56038,472874,11.85
South Carolina,SC,4/4/2020,86573,3/28/2020,75521,2077535,3.64
South Dakota,SD,4/4/2020,8138,3/28/2020,7568,417030,1.81
Tennessee,TN,4/4/2020,112186,3/28/2020,116179,3263988,3.56
Texas,TX,4/4/2020,315167,3/28/2020,374656,12236594,3.06
Utah,UT,4/4/2020,33040,3/28/2020,45161,1459679,3.09
Vermont,VT,4/4/2020,16474,3/28/2020,21953,303508,7.23
Virgin Islands,VI,4/4/2020,72,3/28/2020,658,34238,1.92
Virginia,VA,4/4/2020,147369,3/28/2020,133184,3731069,3.57
Washington,WA,4/4/2020,171252,3/28/2020,309411,3333838,9.28
West Virginia,WV,4/4/2020,14494,3/28/2020,36690,670051,5.48
Wisconsin,WI,4/4/2020,104823,3/28/2020,208387,2851929,7.31
Wyoming,WY,4/4/2020,6543,3/28/2020,7790,268518,2.9